year,month,ret
1954,8,-0.0018
1954,9,0.0374
1954,10,0.0023
1954,11,0.0709
1954,12,0.1266
1955,1,0.047
1955,2,0.0576
1955,3,0.0014
1955,4,0.0176
1955,5,0.0041
1955,6,0.0432
1955,7,0.0068
1955,8,-0.0046
1955,9,0.018
1955,10,-0.007
1955,11,0.0349
1955,12,0.0247
1956,1,-0.017
1956,2,0.0315
1956,3,0.0486
1956,4,0.0066
1956,5,-0.0416
1956,6,0
1956,7,0.0293
1956,8,-0.0103
1956,9,-0.0133
1956,10,0.0111
1956,11,0.0126
1956,12,0.0095
1957,1,0.0334
1957,2,-0.0168
1957,3,0.0085
1957,4,0.0314
1957,5,0.0015
1957,6,0.0175
1957,7,0.0018
1957,8,-0.0395
1957,9,-0.0451
1957,10,-0.0949
1957,11,0.0142
1957,12,-0.0525
1958,1,0.1446
1958,2,-0.0087
1958,3,0.0289
1958,4,0.0376
1958,5,0.0401
1958,6,0.0328
1958,7,0.0563
1958,8,0.0459
1958,9,0.0742
1958,10,0.0271
1958,11,0.0318
1958,12,0.0349
1959,1,0.0725
1959,2,0.0283
1959,3,0.0326
1959,4,0.0386
1959,5,0.0178
1959,6,0.0106
1959,7,0.0352
1959,8,-0.0169
1959,9,-0.0594
1959,10,0.0103
1959,11,0.0045
1959,12,0.0223
1960,1,-0.0074
1960,2,0.0115
1960,3,-0.026
1960,4,-0.0247
1960,5,0.0178
1960,6,0.0195
1960,7,-0.0157
1960,8,0.0427
1960,9,-0.0722
1960,10,-0.0272
1960,11,0.0204
1960,12,0.0129
1961,1,0.0848
1961,2,0.0665
1961,3,0.0792
1961,4,0.0055
1961,5,0.056
1961,6,-0.0602
1961,7,-0.0068
1961,8,0.0183
1961,9,-0.0423
1961,10,0.0118
1961,11,0.0477
1961,12,0.0037
1962,1,0.0318
1962,2,0.0191
1962,3,-0.0005
1962,4,-0.0678
1962,5,-0.1116
1962,6,-0.0735
1962,7,0.0763
1962,8,0.0275
1962,9,-0.0634
1962,10,-0.0247
1962,11,0.1388
1962,12,-0.023
1963,1,0.1113
1963,2,0.0278
1963,3,0.0258
1963,4,0.0279
1963,5,0.0793
1963,6,-0.0104
1963,7,-0.0122
1963,8,0.0473
1963,9,-0.0038
1963,10,0.0237
1963,11,-0.0111
1963,12,-0.0097
1964,1,0.0487
1964,2,0.0449
1964,3,0.0271
1964,4,-0.009
1964,5,0.0147
1964,6,0.0109
1964,7,0.0471
1964,8,-0.0049
1964,9,0.0398
1964,10,0.0336
1964,11,0.0052
1964,12,-0.0184
1965,1,0.0877
1965,2,0.0373
1965,3,0.0325
1965,4,0.046
1965,5,-0.0127
1965,6,-0.0957
1965,7,0.0433
1965,8,0.0393
1965,9,0.0314
1965,10,0.0904
1965,11,0.0663
1965,12,0.0497
1966,1,0.0924
1966,2,0.0612
1966,3,-0.011
1966,4,0.0389
1966,5,-0.1179
1966,6,0.0037
1966,7,-0.0103
1966,8,-0.1038
1966,9,-0.0124
1966,10,-0.0139
1966,11,0.0356
1966,12,0.002
1967,1,0.1744
1967,2,0.059
1967,3,0.0524
1967,4,0.0356
1967,5,-0.0071
1967,6,0.1005
1967,7,0.1185
1967,8,0.0209
1967,9,0.0486
1967,10,-0.0266
1967,11,-0.011
1967,12,0.1013
1968,1,0.06
1968,2,-0.0558
1968,3,-0.0008
1968,4,0.1577
1968,5,0.1174
1968,6,0.0019
1968,7,0.0081
1968,8,0.0483
1968,9,0.0632
1968,10,0.0166
1968,11,0.0698
1968,12,0.0054
1969,1,-0.0134
1969,2,-0.0872
1969,3,0.0239
1969,4,0.0011
1969,5,0.0045
1969,6,-0.1232
1969,7,-0.0792
1969,8,0.0276
1969,9,-0.0344
1969,10,0.0633
1969,11,-0.0739
1969,12,-0.0865
1970,1,0.0011
1970,2,0.0429
1970,3,-0.0129
1970,4,-0.1202
1970,5,-0.1045
1970,6,-0.0603
1970,7,0.0383
1970,8,0.0633
1970,9,0.1159
1970,10,-0.05
1970,11,0.0021
1970,12,0.1075
1971,1,0.1593
1971,2,0.0406
1971,3,0.0513
1971,4,0.0186
1971,5,-0.0657
1971,6,-0.0216
1971,7,-0.0591
1971,8,0.0563
1971,9,-0.0237
1971,10,-0.0725
1971,11,-0.0559
1971,12,0.1339
1972,1,0.1483
1972,2,0.0353
1972,3,-0.0044
1972,4,0.0106
1972,5,-0.0229
1972,6,-0.0376
1972,7,-0.0281
1972,8,0.0224
1972,9,-0.0422
1972,10,-0.0195
1972,11,0.06
1972,12,-0.0148
1973,1,-0.014
1973,2,-0.0602
1973,3,-0.0182
1973,4,-0.0541
1973,5,-0.0827
1973,6,-0.0234
1973,7,0.104
1973,8,-0.045
1973,9,0.0691
1973,10,0.0133
1973,11,-0.1807
1973,12,-0.0416
1974,1,0.1893
1974,2,0.0111
1974,3,0.0195
1974,4,-0.0418
1974,5,-0.061
1974,6,-0.0145
1974,7,-0.0383
1974,8,-0.0691
1974,9,-0.0842
1974,10,0.0966
1974,11,-0.0668
1974,12,-0.0916
1975,1,0.3327
1975,2,0.0492
1975,3,0.0977
1975,4,0.0306
1975,5,0.0665
1975,6,0.0796
1975,7,-0.0064
1975,8,-0.0766
1975,9,-0.039
1975,10,0.0096
1975,11,0.0365
1975,12,-0.0138
1976,1,0.2688
1976,2,0.1581
1976,3,0.016
1976,4,-0.0166
1976,5,-0.0482
1976,6,0.0203
1976,7,0.0113
1976,8,-0.0157
1976,9,0.0195
1976,10,-0.0235
1976,11,0.028
1976,12,0.1003
1977,1,0.0576
1977,2,0.0042
1977,3,0.0132
1977,4,0.0253
1977,5,0.0131
1977,6,0.0726
1977,7,0.0121
1977,8,-0.0166
1977,9,0.0134
1977,10,-0.0221
1977,11,0.0906
1977,12,0.0176
1978,1,0.0023
1978,2,0.0356
1978,3,0.0819
1978,4,0.0845
1978,5,0.0804
1978,6,0.003
1978,7,0.0475
1978,8,0.1021
1978,9,0.0021
1978,10,-0.214
1978,11,0.0427
1978,12,0.0071
1979,1,0.1181
1979,2,-0.014
1979,3,0.0848
1979,4,0.0341
1979,5,-0.0114
1979,6,0.0538
1979,7,0.0222
1979,8,0.0802
1979,9,-0.0093
1979,10,-0.1149
1979,11,0.0641
1979,12,0.0523
1980,1,0.1088
1980,2,-0.0207
1980,3,-0.1757
1980,4,0.0605
1980,5,0.0773
1980,6,0.0539
1980,7,0.0901
1980,8,0.0517
1980,9,0.0292
1980,10,0.0218
1980,11,0.0172
1980,12,-0.0346
1981,1,0.0322
1981,2,0.0245
1981,3,0.0736
1981,4,0.0553
1981,5,0.027
1981,6,0.0114
1981,7,-0.023
1981,8,-0.0498
1981,9,-0.063
1981,10,0.0496
1981,11,0.0405
1981,12,-0.0114
1982,1,-0.0027
1982,2,-0.0091
1982,3,0.0013
1982,4,0.045
1982,5,-0.0071
1982,6,-0.0124
1982,7,-0.0045
1982,8,0.0564
1982,9,0.0434
1982,10,0.1163
1982,11,0.1045
1982,12,0.0242
1983,1,0.0713
1983,2,0.0894
1983,3,0.0757
1983,4,0.0902
1983,5,0.0791
1983,6,0.043
1983,7,0.0074
1983,8,-0.0114
1983,9,0.0164
1983,10,-0.0293
1983,11,0.0439
1983,12,0.0074
1984,1,0.0316
1984,2,-0.0459
1984,3,0.0214
1984,4,-0.0095
1984,5,-0.036
1984,6,0.0131
1984,7,-0.0216
1984,8,0.0865
1984,9,0.024
1984,10,-0.0129
1984,11,-0.0093
1984,12,0.0076
1985,1,0.0849
1985,2,0.0373
1985,3,-0.0026
1985,4,0.0028
1985,5,0.0111
1985,6,0.0306
1985,7,0.023
1985,8,-0.0111
1985,9,-0.0406
1985,10,0.0176
1985,11,0.0491
1985,12,0.0339
1986,1,0.0302
1986,2,0.0536
1986,3,0.0626
1986,4,0.0048
1986,5,0.0403
1986,6,0.0235
1986,7,-0.0869
1986,8,0.0181
1986,9,-0.0313
1986,10,0.011
1986,11,0.0129
1986,12,-0.0356
1987,1,0.0966
1987,2,0.0658
1987,3,0.0477
1987,4,-0.0144
1987,5,0.0323
1987,6,0.0428
1987,7,0.0533
1987,8,0.0073
1987,9,-0.0129
1987,10,-0.2888
1987,11,-0.0353
1987,12,0.0333
1988,1,0.0647
1988,2,0.0753
1988,3,0.05
1988,4,0.0394
1988,5,-0.0093
1988,6,0.0485
1988,7,-0.0108
1988,8,-0.0208
1988,9,0.0282
1988,10,-0.0097
1988,11,-0.0431
1988,12,0.0262
1989,1,0.0561
1989,2,0.0182
1989,3,0.0305
1989,4,0.0293
1989,5,0.0348
1989,6,0.0056
1989,7,0.0145
1989,8,0.0154
1989,9,-0.0046
1989,10,-0.0678
1989,11,-0.013
1989,12,-0.0166
1990,1,-0.0606
1990,2,0.0154
1990,3,0.0141
1990,4,-0.0353
1990,5,0.0342
1990,6,-0.002
1990,7,-0.046
1990,8,-0.1241
1990,9,-0.0881
1990,10,-0.0726
1990,11,0.0118
1990,12,0.0009
1991,1,0.1108
1991,2,0.1214
1991,3,0.0784
1991,4,0.0057
1991,5,0.0312
1991,6,-0.0377
1991,7,0.026
1991,8,0.0275
1991,9,-0.0122
1991,10,0.0145
1991,11,-0.0293
1991,12,0.0484
1992,1,0.1646
1992,2,0.099
1992,3,-0.0124
1992,4,-0.0294
1992,5,0.0178
1992,6,-0.0426
1992,7,0.0285
1992,8,-0.0317
1992,9,0.0098
1992,10,0.0126
1992,11,0.078
1992,12,0.0513
1993,1,0.0816
1993,2,0.0079
1993,3,0.049
1993,4,-0.0125
1993,5,0.0469
1993,6,0.0201
1993,7,0.033
1993,8,0.0313
1993,9,0.0333
1993,10,0.0448
1993,11,-0.0191
1993,12,0.0113
1994,1,0.0605
1994,2,0.0002
1994,3,-0.0308
1994,4,0.0074
1994,5,-0.0051
1994,6,-0.0175
1994,7,0.0136
1994,8,0.0314
1994,9,0.0079
1994,10,-0.0023
1994,11,-0.0299
1994,12,-0.0021
1995,1,0.0255
1995,2,0.0347
1995,3,0.0071
1995,4,0.0434
1995,5,0.033
1995,6,0.052
1995,7,0.05
1995,8,0.0414
1995,9,0.024
1995,10,-0.0287
1995,11,0.0149
1995,12,0.0139
1996,1,0.0112
1996,2,0.0333
1996,3,0.0206
1996,4,0.0567
1996,5,0.0503
1996,6,-0.0236
1996,7,-0.0575
1996,8,0.0394
1996,9,0.0289
1996,10,0.0087
1996,11,0.0421
1996,12,0.0174
1997,1,0.0377
1997,2,0.0102
1997,3,-0.0212
1997,4,-0.0255
1997,5,0.0818
1997,6,0.0708
1997,7,0.0586
1997,8,0.043
1997,9,0.0879
1997,10,-0.0111
1997,11,-0.0045
1997,12,0.0145
1998,1,-0.0062
1998,2,0.0656
1998,3,0.05
1998,4,0.0242
1998,5,-0.0257
1998,6,-0.0162
1998,7,-0.0592
1998,8,-0.1836
1998,9,0.0148
1998,10,0.0097
1998,11,0.0836
1998,12,0.0167
1999,1,0.0432
1999,2,-0.0585
1999,3,-0.0319
1999,4,0.0915
1999,5,0.0462
1999,6,0.0599
1999,7,0.0183
1999,8,-0.0335
1999,9,-0.0388
1999,10,-0.0269
1999,11,0.0674
1999,12,0.0777
2000,1,0.0504
2000,2,0.1492
2000,3,-0.0309
2000,4,-0.0982
2000,5,-0.0679
2000,6,0.1069
2000,7,0.0148
2000,8,0.0508
2000,9,-0.0088
2000,10,-0.0423
2000,11,-0.0459
2000,12,0.0277
2001,1,0.1309
2001,2,-0.0026
2001,3,-0.018
2001,4,0.0525
2001,5,0.1046
2001,6,0.0021
2001,7,-0.0034
2001,8,-0.0107
2001,9,-0.1377
2001,10,0.0476
2001,11,0.0679
2001,12,0.0723
2002,1,0.051
2002,2,-0.034
2002,3,0.0993
2002,4,0.0547
2002,5,0.002
2002,6,-0.0106
2002,7,-0.1208
2002,8,-0.0208
2002,9,-0.0676
2002,10,0.0122
2002,11,0.0932
2002,12,-0.0237
2003,1,0.0025
2003,2,-0.0237
2003,3,-0.0021
2003,4,0.0976
2003,5,0.1126
2003,6,0.0595
2003,7,0.0772
2003,8,0.0711
2003,9,0.0468
2003,10,0.1134
2003,11,0.0696
2003,12,0.0436
2004,1,0.0837
2004,2,0
2004,3,-0.008
2004,4,-0.066
2004,5,0.0079
2004,6,0.0418
2004,7,-0.0423
2004,8,-0.0177
2004,9,0.0375
2004,10,0.0049
2004,11,0.0968
2004,12,0.0622
2005,1,-0.0139
2005,2,0.0305
2005,3,-0.0249
2005,4,-0.0669
2005,5,0.0539
2005,6,0.0536
2005,7,0.0689
2005,8,-0.0085
2005,9,-0.0089
2005,10,-0.021
2005,11,0.0358
2005,12,0.0066
2006,1,0.0812
2006,2,0.0034
2006,3,0.0669
2006,4,0.0176
2006,5,-0.0394
2006,6,-0.0021
2006,7,-0.0251
2006,8,0.0279
2006,9,0.0211
2006,10,0.0522
2006,11,0.0274
2006,12,0.0368
2007,1,0.0312
2007,2,0.0004
2007,3,0.0074
2007,4,0.0167
2007,5,0.0304
2007,6,0.0018
2007,7,-0.0784
2007,8,-0.0317
2007,9,-0.0112
2007,10,-0.0092
2007,11,-0.0897
2007,12,-0.0101
2008,1,-0.0469
2008,2,-0.0393
2008,3,-0.0031
2008,4,0.0066
2008,5,0.016
2008,6,-0.0995
2008,7,0.0331
2008,8,0.0682
2008,9,-0.0647
2008,10,-0.2169
2008,11,-0.1616
2008,12,0.0421
2009,1,-0.1529
2009,2,-0.149
2009,3,0.1036
2009,4,0.1735
2009,5,0.0385
2009,6,0.0315
2009,7,0.1385
2009,8,0.1007
2009,9,0.0895
2009,10,-0.0903
2009,11,0.0155
2009,12,0.1023
2010,1,-0.0113
2010,2,0.0697
2010,3,0.0988
2010,4,0.1218
2010,5,-0.1047
2010,6,-0.1161
2010,7,0.0624
2010,8,-0.0929
2010,9,0.1021
2010,10,0.0357
2010,11,0.0337
2010,12,0.0952
2011,1,-0.0095
2011,2,0.0642
2011,3,0.0157
2011,4,0.0028
2011,5,-0.0282
2011,6,-0.0248
2011,7,-0.0145
2011,8,-0.0967
2011,9,-0.1032
2011,10,0.1005
2011,11,-0.0019
2011,12,0.0132
2012,1,0.0767
2012,2,0.0257
2012,3,0.0483
2012,4,-0.002
2012,5,-0.0488
2012,6,0.0543
2012,7,-0.0235
2012,8,0.0324
2012,9,0.045
2012,10,-0.0125
2012,11,0.0103
2012,12,0.0445
2013,1,0.056
2013,2,0.0159
2013,3,0.0447
2013,4,0.0077
2013,5,0.0411
2013,6,0.0011
2013,7,0.0744
2013,8,-0.0325
2013,9,0.0621
2013,10,0.0285
2013,11,0.0459
2013,12,0.0149
2014,1,-0.0283
2014,2,0.0461
2014,3,0.0145
2014,4,-0.0437
2014,5,0.0003
2014,6,0.0374
2014,7,-0.0483
2014,8,0.0328
2014,9,-0.0585
2014,10,0.0424
2014,11,-0.0264
2014,12,0.0355
2015,1,-0.0514
2015,2,0.0567
2015,3,0.011
2015,4,-0.0038
2015,5,-0.0005
2015,6,0.019
2015,7,-0.0639
2015,8,-0.012
2015,9,-0.0612
2015,10,0.044
2015,11,0.0199
2015,12,-0.0466
2016,1,-0.074
2016,2,0.0028
2016,3,0.0665
2016,4,0.0588
2016,5,-0.011
2016,6,0.0103
2016,7,0.058
