Date,Price
20150806,28.16
20150807,28.55
20150810,28.66
20150811,28.14
20150812,28.01
20150813,27.99
20150814,28.26
20150817,28.29
20150818,27.77
20150819,27.43
20150820,26.52
20150821,25.77
20150824,24.93
20150825,25.23
20150826,26.17
20150827,27.10
20150828,27.25
20150831,27.11
20150901,26.48
20150902,26.87
20150903,27.04
20150904,26.48
20150908,26.36
20150909,26.20
20150910,26.15
20150911,26.32
20150914,25.75
20150915,25.98
20150916,26.74
20150917,26.27
20150918,26.02
20150921,25.92
20150922,25.61
20150923,25.59
20150924,25.61
20150925,25.33
20150928,24.14
20150929,24.08
20150930,24.44
20151001,24.91
20151002,25.53
20151005,25.74
20151006,25.68
20151007,25.68
20151008,24.15
20151009,24.30
20151012,24.56
20151013,24.62
20151014,24.00
20151015,24.51
20151016,24.55
20151019,24.56
20151020,24.42
20151021,24.21
20151022,27.58
20151023,28.16
20151026,28.17
20151027,28.37
20151028,28.25
20151029,28.18
20151030,27.90
20151102,28.50
20151103,28.90
20151104,29.30
20151105,29.30
20151106,29.40
20151109,29.18
20151110,29.14
20151111,28.95
20151112,28.56
20151113,28.19
20151116,28.48
20151117,28.45
20151118,28.75
20151119,28.77
20151120,29.06
20151123,28.84
20151124,29.00
20151125,29.00
20151127,29.10
20151130,29.59
20151201,29.05
20151202,28.97
20151203,28.59
20151204,29.35
20151207,29.05
20151208,28.79
20151209,28.34
20151210,28.57
20151211,27.97
20151214,28.04
20151215,28.31
20151216,28.57
20151217,28.05
20151218,27.46
20151221,27.59
20151222,27.89
20151223,27.78
20151224,27.66
20151228,27.64
20151229,27.91
20151230,27.75
20151231,27.48
20160104,26.43
20160105,26.12
20160106,26.41
20160107,25.69
20160108,25.75
20160111,26.10
20160112,26.21
20160113,25.41
20160114,25.86
20160115,25.26
20160119,25.77
20160120,25.82
20160121,26.09
20160122,26.43
20160125,26.14
20160126,26.65
20160127,26.42
20160128,23.13
20160129,23.46
20160201,23.94
20160202,23.29
20160203,23.50
20160204,23.49
20160205,23.20
20160208,22.48
20160209,22.01
20160210,22.32
20160211,22.08
20160212,22.49
20160216,22.95
20160217,23.22
20160218,23.53
20160219,23.81
20160222,24.24
20160223,23.62
20160224,23.96
20160225,24.18
20160226,24.18
20160229,23.80
20160301,24.25
20160302,23.72
20160303,23.94
20160304,24.41
20160307,24.26
20160308,24.07
20160309,23.95
20160310,23.69
20160311,24.02
20160314,24.28
20160315,23.58
20160316,23.68
20160317,23.76
20160318,23.77
20160321,24.34
20160322,24.13
20160323,24.17
20160324,24.33
20160328,24.12
20160329,24.10
20160330,24.04
20160331,23.86
20160401,23.88
20160404,24.03
20160405,24.39
20160406,25.43
20160407,24.10
20160408,24.07
20160411,24.06
20160412,24.42
20160413,25.08
20160414,25.21
20160415,25.22
20160418,25.31
20160419,24.30
20160420,24.66
20160421,24.69
20160422,24.40
20160425,24.22
20160426,24.49
20160427,25.27
20160428,24.62
20160429,24.43
20160502,24.26
20160503,23.98
20160504,23.80
20160505,23.81
20160506,23.82
20160509,24.02
20160510,24.16
20160511,23.74
20160512,23.58
20160513,23.78
20160516,23.80
20160517,23.27
20160518,23.69
20160519,23.42
20160520,23.65
20160523,23.46
20160524,24.05
20160525,24.04
20160526,24.12
20160527,24.36
20160531,24.46
20160601,24.07
20160602,24.25
20160603,23.98
20160606,23.99
20160607,24.28
20160608,24.23
20160609,24.33
20160610,24.07
20160613,23.89
20160614,23.88
20160615,23.96
20160616,23.85
20160617,23.79
20160620,24.57
20160621,24.70
20160622,24.34
20160623,24.85
20160624,23.13
20160627,22.72
20160628,22.99
20160629,23.31
20160630,23.41
20160701,23.78
20160705,23.76
20160706,23.83
20160707,23.93
20160708,24.61
20160711,24.86
20160712,25.13
20160713,25.12
20160714,26.08
20160715,26.34
20160718,26.49
20160719,26.50
20160720,26.99
20160721,29.93
20160722,30.49
20160725,30.68
20160726,31.40
20160727,31.31
20160728,31.17
20160729,31.16
20160801,31.25
20160802,30.79
20160803,30.95
20160804,31.06
20160805,31.39
20160808,31.15
20160809,31.11
20160810,31.12
20160811,31.20
20160812,30.89
20160815,31.05
20160816,30.83
20160817,30.61
20160818,30.52
20160819,30.63
20160822,30.62
20160823,30.67
20160824,31.25
20160825,31.34
20160826,31.31
20160829,31.40
20160830,31.77
20160831,32.16
20160901,32.13
20160902,32.28
20160906,32.41
20160907,32.51
20160908,32.70
20160909,31.89
20160912,32.49
20160913,31.91
20160914,31.80
20160915,31.98
20160916,31.77
20160919,31.57
20160920,31.36
20160921,31.97
20160922,32.28
20160923,32.07
20160926,31.67
20160927,31.94
20160928,31.85
20160929,32.30
20160930,32.90
20161003,32.55
20161004,32.56
20161005,32.15
20161006,32.13
20161007,31.62
20161010,31.95
20161011,31.46
20161012,31.50
20161013,31.51
20161014,31.89
20161017,31.81
20161018,31.64
20161019,32.52
20161020,29.02
20161021,29.06
20161024,29.22
20161025,29.05
20161026,28.82
